region_id,region_name,avg_item_price,inflation_rate,unemployment_rate,gdp_growth,trade_volume
1,Elwynn Forest,39.677180657892,1.2276042619858871,9.117700009366827,0.9793509671925262,4261264.996262186
2,Durotar,56.500368473570454,1.568093756949351,4.837138337654976,2.2360150036641446,11394500.257700471
3,Mulgore,163.90391248059194,1.6335910580330626,3.7648716780357514,3.4784381679867065,11425444.70508381
4,Dun Morogh,166.71429840345698,2.2885748958999987,4.077476476947056,5.289469526325597,897250.7737939545
5,Teldrassil,48.001448644588336,0.1137618453121445,3.364834346971647,0.7515969932219604,3077178.59968524
6,Tirisfal Glades,71.26795564065775,1.5382744128233292,3.3618763377078826,1.1045285957993267,4355061.374341986
7,Eversong Woods,52.129444181244004,2.5929234273295267,6.957883383827899,3.754478211888373,7346687.87206895
8,Azuremyst Isle,110.83945828224108,1.2810023568875741,6.497206074855738,5.217802869304205,526334.3538078186
9,Gilneas,46.694152252079995,2.8588959773491744,6.018569686892749,4.716650540720224,10157006.445917657
10,Kezan,12.995741655676074,1.906943574195827,2.825560939348915,4.2336951791944495,1124629.2654323266
